127.0.0.1 - - [30/Nov/2020:17:22:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:24:33 +0900] "GET /board/ HTTP/1.1" 500 13230
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:24:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /board/ HTTP/1.1" 200 6112
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /board/resources/smarteditor/js/HuskyEZCreator.js HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /board/resources/jquery-ui-1.11.4.custom/jquery-ui.css HTTP/1.1" 200 35294
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /board/resources/jquery-ui-1.11.4.custom/jquery-ui.js HTTP/1.1" 200 470596
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /board/resources/css/style1.css HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /board/resources/images/%EB%8F%99%EC%9B%90.png HTTP/1.1" 200 259873
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /board/resources/images/%EB%A0%88%EB%85%B8%EB%B3%B4.png HTTP/1.1" 200 169260
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /board/resources/images/%EC%9B%90%EB%8D%94%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4.png HTTP/1.1" 200 224901
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /board/resources/images/%EB%AF%B8%EC%83%A4.png HTTP/1.1" 200 179918
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:30:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:31:02 +0900] "GET /board/login.action HTTP/1.1" 200 6861
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:31:04 +0900] "GET /board/list.action HTTP/1.1" 500 13450
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:33:44 +0900] "GET /board/list.action HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:33:46 +0900] "GET /board/add.action HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:33:47 +0900] "GET /board/login.action HTTP/1.1" 200 6861
0:0:0:0:0:0:0:1 - - [30/Nov/2020:17:33:53 +0900] "GET /board/login.action HTTP/1.1" 200 6861
192.35.169.48 - - [30/Nov/2020:21:20:41 +0900] "GET / HTTP/1.1" 404 807
192.35.169.48 - - [30/Nov/2020:21:20:41 +0900] "-" 400 2129
